nid,name,latitude,longitude,,,
1471,Kabupaten Bogor,-6.6,106.8,,,
1472,Kabupaten Sukabumi,-6.92405,106.922203,,,
1473,Kabupaten Cianjur,-6.8172531,107.1307289,,,
1474,Kabupaten Bandung,-6.9147444,107.6098111,,,
1475,Kabupaten Garut,-7.227906,107.908699,,,
1476,Kabupaten Tasikmalaya,-7.327954,108.214104,,,
1477,Kabupaten Ciamis,-7.3333333,108.35,,,
1478,Kabupaten Kuningan,-6.9833333,108.4833333,,,
1479,Kabupaten Cirebon,-6.715534,108.564003,,,
1480,Kabupaten Majalengka,-6.8531026,108.2258897,,,
1481,Kabupaten Sumedang,0.6095949,110.0330554,,,
1482,Kabupaten Indramayu,-6.336315,108.325104,,,
1483,Kabupaten Subang,-6.569361,107.752403,,,
1484,Kabupaten Purwakarta,-6.5386806,107.4499404,,,
1485,Kabupaten Karawang,-6.3227303,107.3375791,,,
1486,Kabupaten Bekasi,-6.2333333,107,,,
1487,Kabupaten Bandung Barat,-6.8937121,107.4321959,,,
1488,Kota Bogor,-6.6,106.8,,,
1489,Kota Sukabumi,-6.92405,106.922203,,,
1490,Kota Bandung,-6.9147444,107.6098111,,,
1491,Kota Cirebon,-6.715534,108.564003,,,
1492,Kota Bekasi,-6.2333333,107,,,
1493,Kota Depok,-6.39,106.83,,,
1494,Kota Cimahi,-6.880239,107.5355,,,
1495,Kota Tasikmalaya,-7.327954,108.214104,,,
1496,Kota Banjar,-7.3666667,108.5333333,,,
