nid,name,latitude,longitude
1498,Kabupaten Banyumas,-7.4832133,109.140438
1499,Kabupaten Purbalingga,-7.390747,109.3638
1500,Kabupaten Banjarnegara,-7.402706,109.681396
1501,Kabupaten Kebumen,-7.678682,109.656502
1502,Kabupaten Purworejo,-7.709731,110.008003
1503,Kabupaten Wonosobo,-7.362109,109.899399
1504,Kabupaten Magelang,-7.481253,110.213799
1505,Kabupaten Boyolali,-7.523819,110.595901
1506,Kabupaten Klaten,-7.711687,110.595497
1507,Kabupaten Sukoharjo,-7.6808818,110.8195292
1508,Kabupaten Wonogiri,-7.817782,110.920601
1509,Kabupaten Karanganyar,-7.5961111,110.9508333
1510,Kabupaten Sragen,-7.430229,111.021301
1511,Kabupaten Grobogan,-7.0217194,110.9625854
1512,Kabupaten Blora,-6.95,111.4166667
1513,Kabupaten Rembang,-6.71124,111.345299
1514,Kabupaten Pati,-6.751338,111.038002
1515,Kabupaten Kudus,-6.804087,110.838203
1516,Kabupaten Jepara,-6.5596059,110.6717
1517,Kabupaten Demak,-6.888115,110.639297
1518,Kabupaten Semarang,-6.9666667,110.4166667
1519,Kabupaten Temanggung,-7.316669,110.174797
1520,Kabupaten Kendal,-6.919686,110.205597
1521,Kabupaten Batang,-6.8941111,109.7234519
1522,Kabupaten Pekalongan,-6.882887,109.669998
1523,Kabupaten Pemalang,-6.884234,109.377998
1524,Kabupaten Tegal,-6.8666667,109.1333333
1525,Kabupaten Brebes,-6.8833333,109.05
1526,Kota Magelang,-7.481253,110.213799
1527,Kota Surakarta,-7.5666667,110.8166667
1528,Kota Salatiga,-7.302328,110.4729
1529,Kota Semarang,-6.9666667,110.4166667
1530,Kota Pekalongan,-6.882887,109.669998
1531,Kota Tegal,-6.8666667,109.1333333
1532,Kabupaten Kulon Progo,-7.8266798,110.1640846
1533,Kabupaten Bantul,-7.8846111,110.3341111
1534,Kabupaten Gunung Kidul,-8.0305091,110.6168921
1536,Kota Yogyakarta,-7.797224,110.368797
